state_fips,state_name,cohort,cohort_mean,
1,AL,1940,0.920000016689301,
1,AL,1950,0.818000018596649,
1,AL,1960,0.644999980926514,
1,AL,1970,0.638999998569489,
1,AL,1980,0.518999993801117,
2,AK,1940,0.873000025749207,
2,AK,1960,0.572000026702881,
2,AK,1970,0.449999988079071,
2,AK,1980,0.379000008106232,
4,AZ,1940,0.884999990463257,
4,AZ,1950,0.739000022411346,
4,AZ,1960,0.577000021934509,
4,AZ,1970,0.574999988079071,
4,AZ,1980,0.462000012397766,
5,AR,1940,0.921000003814697,
5,AR,1950,0.833000004291534,
5,AR,1960,0.707000017166138,
5,AR,1970,0.660000026226044,
5,AR,1980,0.560000002384186,
6,CA,1940,0.890999972820282,
6,CA,1950,0.712000012397766,
6,CA,1960,0.579999983310699,
6,CA,1970,0.572000026702881,
6,CA,1980,0.488000005483627,
8,CO,1940,0.920000016689301,
8,CO,1950,0.774999976158142,
8,CO,1960,0.549000024795532,
8,CO,1970,0.628000020980835,
8,CO,1980,0.499000012874603,
9,CT,1940,0.922999978065491,
9,CT,1950,0.790000021457672,
9,CT,1960,0.667999982833862,
9,CT,1970,0.640999972820282,
9,CT,1980,0.51800000667572,
10,DE,1940,0.916000008583069,
10,DE,1950,0.819000005722046,
10,DE,1960,0.708000004291534,
10,DE,1980,0.513999998569489,
11,DC,1940,0.862999975681305,
11,DC,1950,0.773999989032745,
11,DC,1960,0.717000007629395,
11,DC,1970,0.689000010490417,
11,DC,1980,0.662000000476837,
12,FL,1940,0.904999971389771,
12,FL,1950,0.772000014781952,
12,FL,1960,0.623000025749207,
12,FL,1970,0.614000022411346,
12,FL,1980,0.458000004291534,
13,GA,1940,0.921000003814697,
13,GA,1950,0.825999975204468,
13,GA,1960,0.629999995231628,
13,GA,1970,0.595000028610229,
13,GA,1980,0.48199999332428,
15,HI,1940,0.944000005722046,
15,HI,1960,0.597000002861023,
15,HI,1970,0.546000003814697,
15,HI,1980,0.5,
16,ID,1940,0.945999979972839,
16,ID,1950,0.811999976634979,
16,ID,1960,0.684000015258789,
16,ID,1980,0.492000013589859,
17,IL,1940,0.924000024795532,
17,IL,1950,0.782000005245209,
17,IL,1960,0.595000028610229,
17,IL,1970,0.583000004291534,
17,IL,1980,0.469999998807907,
18,IN,1940,0.943000018596649,
18,IN,1950,0.790000021457672,
18,IN,1960,0.597000002861023,
18,IN,1970,0.586000025272369,
18,IN,1980,0.483999997377396,
19,IA,1940,0.948000013828278,
19,IA,1950,0.828999996185303,
19,IA,1960,0.657000005245209,
19,IA,1970,0.657000005245209,
19,IA,1980,0.540000021457672,
20,KS,1940,0.935999989509583,
20,KS,1950,0.820999979972839,
20,KS,1960,0.663999974727631,
20,KS,1970,0.630999982357025,
20,KS,1980,0.497000008821487,
21,KY,1940,0.919000029563904,
21,KY,1950,0.833000004291534,
21,KY,1960,0.644999980926514,
21,KY,1970,0.700999975204468,
21,KY,1980,0.533999979496002,
22,LA,1940,0.887000024318695,
22,LA,1950,0.800999999046326,
22,LA,1960,0.586000025272369,
22,LA,1970,0.595000028610229,
22,LA,1980,0.532000005245209,
23,ME,1940,0.931999981403351,
23,ME,1950,0.774999976158142,
23,ME,1960,0.742999970912933,
23,ME,1970,0.667999982833862,
23,ME,1980,0.500999987125397,
24,MD,1940,0.907999992370605,
24,MD,1950,0.753000020980835,
24,MD,1960,0.59799998998642,
24,MD,1970,0.596000015735626,
24,MD,1980,0.512000024318695,
25,MA,1940,0.913999974727631,
25,MA,1950,0.778999984264374,
25,MA,1960,0.679000020027161,
25,MA,1970,0.675000011920929,
25,MA,1980,0.554000020027161,
26,MI,1940,0.933000028133392,
26,MI,1950,0.76800000667572,
26,MI,1960,0.570999979972839,
26,MI,1970,0.584999978542328,
26,MI,1980,0.456999987363815,
27,MN,1940,0.943000018596649,
27,MN,1950,0.841000020503998,
27,MN,1960,0.643999993801117,
27,MN,1970,0.632000029087067,
27,MN,1980,0.528999984264374,
28,MS,1940,0.907000005245209,
28,MS,1950,0.828000009059906,
28,MS,1960,0.660000026226044,
28,MS,1970,0.663999974727631,
28,MS,1980,0.531000018119812,
29,MO,1940,0.938000023365021,
29,MO,1950,0.808000028133392,
29,MO,1960,0.629999995231628,
29,MO,1970,0.617999970912933,
29,MO,1980,0.523999989032745,
30,MT,1940,0.915000021457672,
30,MT,1950,0.800999999046326,
30,MT,1960,0.648999989032745,
30,MT,1980,0.586000025272369,
31,NE,1940,0.944999992847443,
31,NE,1950,0.833000004291534,
31,NE,1960,0.653999984264374,
31,NE,1970,0.669000029563904,
31,NE,1980,0.549000024795532,
32,NV,1940,0.890999972820282,
32,NV,1950,0.694999992847443,
32,NV,1960,0.518999993801117,
32,NV,1970,0.492000013589859,
32,NV,1980,0.395000010728836,
33,NH,1940,0.930000007152557,
33,NH,1950,0.785000026226044,
33,NH,1960,0.628000020980835,
33,NH,1970,0.615000009536743,
33,NH,1980,0.509999990463257,
34,NJ,1940,0.898999989032745,
34,NJ,1950,0.773000001907349,
34,NJ,1960,0.666999995708466,
34,NJ,1970,0.643999993801117,
34,NJ,1980,0.524999976158142,
